Season,Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
2003,"Steve Sparks","- - -","Steve Sparks","- - -",2003,107,1624,0.1173913,"Steve Sparks",499,122562
2003,"Jeff Weaver","NYY","Jeff Weaver","NYY",2003,159.1,2669,0.12653061,"Jeff Weaver",503,213711
2003,"Josh Beckett","FLA","Josh Beckett","FLA",2003,142,2295,0.25291181,"Josh Beckett",510,277417
2003,"Ryan Dempster","CIN","Ryan Dempster","CIN",2003,115.2,1979,0.15412844,"Ryan Dempster",517,133225
2003,"Brad Penny","FLA","Brad Penny","FLA",2003,196.1,3056,0.1701603,"Brad Penny",535,207267
2003,"Wayne Franklin","MIL","Wayne Franklin","MIL",2003,194.2,3225,0.13333333,"Wayne Franklin",557,276356
2003,"Wade Miller","HOU","Wade Miller","HOU",2003,187.1,3123,0.20200753,"Wade Miller",568,150063
2003,"Roy Oswalt","HOU","Roy Oswalt","HOU",2003,127.1,1923,0.21011673,"Roy Oswalt",571,400061
2003,"Tim Redding","HOU","Tim Redding","HOU",2003,176,2928,0.15084525,"Tim Redding",573,400062
2003,"Shane Reynolds","ATL","Shane Reynolds","ATL",2003,167.1,2660,0.12859097,"Shane Reynolds",574,121110
2003,"Jeremy Affeldt","KCR","Jeremy Affeldt","KCR",2003,126,2079,0.18386492,"Jeremy Affeldt",583,346793
2003,"Darrell May","KCR","Darrell May","KCR",2003,210,3252,0.13248848,"Darrell May",613,118469
2003,"Jeff Suppan","- - -","Jeff Suppan","- - -",2003,204,3202,0.12600229,"Jeff Suppan",633,122987
2003,"Kevin Brown","LAD","Kevin Brown","LAD",2003,211,3102,0.2161215,"Kevin Brown",642,111554
2003,"Kaz Ishii","LAD","Kaz Ishii","LAD",2003,147,2668,0.21341463,"Kaz Ishii",655,408193
2003,"Hideo Nomo","LAD","Hideo Nomo","LAD",2003,218.1,3269,0.19732441,"Hideo Nomo",666,119827
2003,"Odalis Perez","LAD","Odalis Perez","LAD",2003,185.1,2853,0.18264249,"Odalis Perez",668,136602
2003,"Glendon Rusch","MIL","Glendon Rusch","MIL",2003,123.1,2146,0.16230366,"Glendon Rusch",707,121556
2003,"Ben Sheets","MIL","Ben Sheets","MIL",2003,220.2,3357,0.16863588,"Ben Sheets",710,282656
2003,"Matt Kinney","MIL","Matt Kinney","MIL",2003,190.2,3163,0.17945691,"Matt Kinney",737,150219
2003,"Kyle Lohse","MIN","Kyle Lohse","MIN",2003,201,3039,0.15294118,"Kyle Lohse",739,346798
2003,"Joe Mays","MIN","Joe Mays","MIN",2003,130,1985,0.08680556,"Joe Mays",740,150222
2003,"Brad Radke","MIN","Brad Radke","MIN",2003,212.1,3130,0.13513514,"Brad Radke",748,120878
2003,"Rick Reed","MIN","Rick Reed","MIN",2003,135,2053,0.12178388,"Rick Reed",750,120999
2003,"Johan Santana","MIN","Johan Santana","MIN",2003,158.1,2495,0.26242236,"Johan Santana",755,276371
2003,"Tomo Ohka","MON","Tomo Ohka","MON",2003,199,2975,0.13657407,"Tomo Ohka",788,219594
2003,"Carl Pavano","FLA","Carl Pavano","FLA",2003,201,3056,0.1572104,"Carl Pavano",790,134321
2003,"Javier Vazquez","MON","Javier Vazquez","MON",2003,230.2,3734,0.25692964,"Javier Vazquez",801,134320
2003,"Roger Clemens","NYY","Roger Clemens","NYY",2003,211.2,3458,0.21640091,"Roger Clemens",815,112388
2003,"Ted Lilly","OAK","Ted Lilly","OAK",2003,178.1,2929,0.19016818,"Ted Lilly",833,150404
2003,"Mike Mussina","NYY","Mike Mussina","NYY",2003,214.2,3238,0.22807018,"Mike Mussina",837,119608
2003,"Andy Pettitte","NYY","Andy Pettitte","NYY",2003,208.1,3387,0.20089286,"Andy Pettitte",840,120485
2003,"David Wells","NYY","David Wells","NYY",2003,213,3001,0.11386697,"David Wells",855,124071
2003,"Jeff D'Amico","PIT","Jeff D'Amico","PIT",2003,175.1,2654,0.13071895,"Jeff D'Amico",871,113026
2003,"Shawn Estes","CHC","Shawn Estes","CHC",2003,152.1,2612,0.14735336,"Shawn Estes",873,113915
2003,"Al Leiter","NYM","Al Leiter","NYM",2003,180.2,3246,0.17418546,"Al Leiter",883,117652
2003,"Jae Weong Seo","NYM","Jae Weong Seo","NYM",2003,188.1,2941,0.13647643,"Jae Weong Seo",895,150242
2003,"Steve Trachsel","NYM","Steve Trachsel","NYM",2003,204.2,3325,0.12952159,"Steve Trachsel",898,123431
2003,"Tim Hudson","OAK","Tim Hudson","OAK",2003,240,3494,0.16752844,"Tim Hudson",921,218596
2003,"Cory Lidle","TOR","Cory Lidle","TOR",2003,192.2,2953,0.13333333,"Cory Lidle",926,117756
2003,"Mark Mulder","OAK","Mark Mulder","OAK",2003,186.2,2619,0.17135207,"Mark Mulder",932,150426
2003,"Barry Zito","OAK","Barry Zito","OAK",2003,231.2,3752,0.15256008,"Barry Zito",944,217096
2003,"Brett Myers","PHI","Brett Myers","PHI",2003,193,3013,0.16863208,"Brett Myers",962,408206
2003,"Vicente Padilla","PHI","Vicente Padilla","PHI",2003,208.2,3166,0.15182648,"Vicente Padilla",964,218894
2003,"Randy Wolf","PHI","Randy Wolf","PHI",2003,200,3275,0.20823529,"Randy Wolf",976,150116
2003,"Kris Benson","PIT","Kris Benson","PIT",2003,105,1737,0.14315789,"Kris Benson",982,150249
2003,"Josh Fogg","PIT","Josh Fogg","PIT",2003,142,2122,0.1136,"Josh Fogg",989,150319
2003,"Ron Villone","HOU","Ron Villone","HOU",2003,106.2,1790,0.20267261,"Ron Villone",1010,123725
2003,"Kip Wells","PIT","Kip Wells","PIT",2003,197.1,3201,0.1760479,"Kip Wells",1012,150337
2003,"Adam Eaton","SDP","Adam Eaton","SDP",2003,183,3056,0.18504436,"Adam Eaton",1029,284566
